project_id,state,district,constituency,work_type,work_description,sanction_amount,estimated_cost,expenditure,start_date,expected_completion,actual_completion_date,physical_progress,financial_progress,implementing_agency,contractor_agency,latitude,longitude,status,terrain,data_source
MPLADS-SYN-0247,Rajasthan,Udaipur,Udaipur,Drinking Water,Drinking Water development work in Udaipur,460000,470000,377200,2026-03-22,2026-08-07,,22,82,Public Works Department,District Works Cooperative,21.291851,74.430281,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0248,Uttar Pradesh,Lucknow,Lucknow,Road,Road development work in Lucknow,2120000,2150000,1026604,2026-02-08,2026-05-08,,52,49,Zilla Parishad,ABC Infrastructure Pvt Ltd,19.792225,75.939658,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0249,Bihar,Bhagalpur,Bhagalpur,Drainage,Drainage development work in Bhagalpur,440000,450000,132000,2026-05-03,2026-08-14,,57,30,Education Department,National Infra Services,25.488338,81.801085,Under Review,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0250,Bihar,Patna,Patna,Street Lighting,Street Lighting development work in Patna,240000,250000,103200,2026-07-08,2027-02-21,,32,43,Municipal Corporation,Shree Buildcon,18.205561,76.032069,Delayed,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0251,Madhya Pradesh,Ujjain,Ujjain,Community Hall,Community Hall development work in Ujjain,3570000,3470000,1986810,2026-03-10,2026-09-10,,53,61,Zilla Parishad,Maharashtra Works Agency,24.395594,72.257275,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0252,Gujarat,Vadodara,Vadodara,Street Lighting,Street Lighting development work in Vadodara,970000,990000,606800,2026-07-22,2026-12-11,,61,68,Public Works Department,District Works Cooperative,10.853115,84.666396,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0253,Rajasthan,Ajmer,Ajmer,Sports Facility,Sports Facility development work in Ajmer,1220000,1250000,634400,2026-05-02,2026-10-09,,38,52,Rural Development Agency,Shree Buildcon,21.736624,79.636329,Delayed,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0254,Gujarat,Rajkot,Rajkot,Road,Road development work in Rajkot,2630000,2630000,2338033,2026-07-02,2026-10-01,,89,96,Rural Development Agency,Maharashtra Works Agency,17.91625,75.036725,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0255,Uttar Pradesh,Lucknow,Lucknow,Solar Lighting,Solar Lighting development work in Lucknow,990000,1020000,432659,2026-08-02,2026-12-30,,45,46,Rural Development Agency,Shree Buildcon,26.089696,79.562778,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0256,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,Solar Lighting,Solar Lighting development work in Tiruchirappalli,1250000,1280000,648786,2026-01-24,2026-05-04,,55,52,Zilla Parishad,Shree Buildcon,21.63785,80.240659,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0257,Rajasthan,Jodhpur,Jodhpur,Street Lighting,Street Lighting development work in Jodhpur,1440000,1450000,547200,2026-05-08,2026-08-27,,10,38,Municipal Council,National Infra Services,16.898292,80.720736,Delayed,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0258,Rajasthan,Kota,Kota,Street Lighting,Street Lighting development work in Kota,1200000,1190000,708000,2026-02-06,2026-06-19,,52,59,Public Works Department,ABC Infrastructure Pvt Ltd,19.794795,86.077721,Under Review,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0259,Uttar Pradesh,Prayagraj,Prayagraj,Street Lighting,Street Lighting development work in Prayagraj,760000,780000,418000,2026-01-01,2026-04-21,,40,55,Public Works Department,Om Civil Works,25.636037,83.25203,Delayed,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0260,Maharashtra,Aurangabad,Aurangabad,Road,Road development work in Aurangabad,670000,690000,302496,2026-08-06,2026-12-16,,53,47,Municipal Corporation,ABC Infrastructure Pvt Ltd,15.168183,82.810948,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0261,Rajasthan,Kota,Kota,Sports Facility,Sports Facility development work in Kota,810000,830000,428009,2026-03-02,2026-06-30,,66,57,Rural Development Agency,National Infra Services,21.323116,79.487089,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0262,Uttar Pradesh,Lucknow,Lucknow,School Building,School Building development work in Lucknow,3800000,3830000,2333104,2026-05-18,2026-11-12,,59,63,Public Works Department,Sai Construction,22.744014,84.688704,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0263,Maharashtra,Solapur,Solapur,School Building,School Building development work in Solapur,2470000,2410000,2025400,2026-06-03,2026-11-22,,23,82,Municipal Corporation,Shree Buildcon,23.702525,76.556382,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0264,Karnataka,Mysuru,Mysuru,Road,Road development work in Mysuru,1340000,1330000,557509,2026-06-11,2026-11-22,,45,46,Municipal Corporation,National Infra Services,17.649043,88.06277,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0265,Tamil Nadu,Coimbatore,Coimbatore,Library,Library development work in Coimbatore,1120000,1100000,772586,2026-02-23,2026-06-24,,70,76,District Health Office,Sai Construction,27.630975,78.763776,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0266,Karnataka,Hubballi,Hubballi,Library,Library development work in Hubballi,540000,550000,475200,2026-01-14,2026-03-21,,39,88,Municipal Council,National Infra Services,28.293636,74.184233,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0267,Maharashtra,Solapur,Solapur,Solar Lighting,Solar Lighting development work in Solapur,1200000,1190000,588000,2026-08-13,2027-01-02,,26,49,Municipal Council,Sai Construction,18.427677,81.703334,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0268,Madhya Pradesh,Bhopal,Bhopal,Drinking Water,Drinking Water development work in Bhopal,1740000,1710000,1255331,2026-03-01,2026-09-30,,87,77,Public Works Department,ABC Infrastructure Pvt Ltd,19.027276,75.219689,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0269,Maharashtra,Nandurbar,Nandurbar,School Building,School Building development work in Nandurbar,4690000,4610000,1371262,2026-06-07,2026-12-26,,35,32,Education Department,National Infra Services,25.990257,72.587997,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0270,Tamil Nadu,Salem,Salem,Sports Facility,Sports Facility development work in Salem,2030000,1980000,1396357,2026-05-08,2026-09-19,,69,74,Rural Development Agency,National Infra Services,18.049551,82.395454,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0271,Tamil Nadu,Salem,Salem,Health Facility,Health Facility development work in Salem,3050000,3060000,1856249,2026-05-02,2026-09-07,,63,66,District Health Office,Sai Construction,12.488438,82.498392,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0272,Madhya Pradesh,Sagar,Sagar,Health Facility,Health Facility development work in Sagar,4400000,4470000,3390880,2026-03-12,2026-08-03,,89,79,Municipal Council,Sai Construction,19.335499,76.103612,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0273,Tamil Nadu,Salem,Salem,Sports Facility,Sports Facility development work in Salem,2140000,2200000,1065723,2026-05-15,2026-09-03,,62,54,Municipal Corporation,ABC Infrastructure Pvt Ltd,27.869879,81.507319,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0274,Bihar,Darbhanga,Darbhanga,Drinking Water,Drinking Water development work in Darbhanga,500000,510000,403207,2026-08-17,2027-03-10,,82,82,Municipal Council,District Works Cooperative,9.208126,80.141393,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0275,Maharashtra,Nandurbar,Nandurbar,Library,Library development work in Nandurbar,740000,730000,658600,2026-08-05,2027-02-21,,66,89,Rural Development Agency,Sai Construction,8.1898,73.940124,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0276,Rajasthan,Jodhpur,Jodhpur,School Building,School Building development work in Jodhpur,3740000,3750000,1800589,2026-02-02,2026-09-09,,49,50,Public Works Department,Sai Construction,11.207287,77.782471,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0277,Karnataka,Hubballi,Hubballi,Library,Library development work in Hubballi,810000,830000,623700,2026-04-07,2026-06-29,,35,77,Public Works Department,District Works Cooperative,11.003079,74.719503,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0278,Gujarat,Kutch,Kutch,Health Facility,Health Facility development work in Kutch,4090000,4130000,3338559,2026-01-12,2026-07-10,,91,87,District Health Office,District Works Cooperative,15.092827,78.997286,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0279,Bihar,Bhagalpur,Bhagalpur,Community Hall,Community Hall development work in Bhagalpur,3270000,3220000,719400,2026-02-02,2026-07-06,,13,22,Public Works Department,ABC Infrastructure Pvt Ltd,26.332435,74.527664,Delayed,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0280,Uttar Pradesh,Kanpur Nagar,Kanpur,Road,Road development work in Kanpur Nagar,1270000,1290000,431800,2026-06-04,2026-10-29,,25,34,Public Works Department,Sai Construction,25.140165,73.420571,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0281,Tamil Nadu,Madurai,Madurai,Sports Facility,Sports Facility development work in Madurai,1480000,1450000,972849,2026-03-02,2026-09-27,,57,67,Municipal Council,Sai Construction,19.02795,75.475936,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0282,Gujarat,Vadodara,Vadodara,Road,Road development work in Vadodara,900000,900000,305823,2026-06-11,2027-01-22,,46,36,Municipal Council,ABC Infrastructure Pvt Ltd,26.719551,77.053548,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0283,Gujarat,Vadodara,Vadodara,Community Hall,Community Hall development work in Vadodara,2560000,2570000,1085142,2026-03-15,2026-05-14,,46,43,Municipal Council,National Infra Services,12.108334,74.839129,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0284,Madhya Pradesh,Jabalpur,Jabalpur,Community Hall,Community Hall development work in Jabalpur,2890000,2840000,1652343,2026-05-22,2026-11-06,,72,62,Rural Development Agency,Om Civil Works,18.949361,77.723309,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0285,Uttar Pradesh,Kanpur Nagar,Kanpur,Community Hall,Community Hall development work in Kanpur Nagar,2860000,2830000,1991209,2026-02-15,2026-05-07,,86,76,District Health Office,Maharashtra Works Agency,23.019748,82.821832,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0286,Karnataka,Mysuru,Mysuru,Sports Facility,Sports Facility development work in Mysuru,2400000,2380000,1092624,2026-08-14,2026-10-25,,38,47,Municipal Corporation,Sai Construction,8.816811,86.320296,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0287,Bihar,Darbhanga,Darbhanga,Drinking Water,Drinking Water development work in Darbhanga,1650000,1640000,1300333,2026-01-03,2026-05-26,,91,84,Zilla Parishad,Maharashtra Works Agency,11.008384,88.117915,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0288,Madhya Pradesh,Jabalpur,Jabalpur,Sports Facility,Sports Facility development work in Jabalpur,1960000,2010000,548800,2026-07-06,2027-02-24,,13,28,Municipal Corporation,Maharashtra Works Agency,8.103547,75.41775,Delayed,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0289,Gujarat,Rajkot,Rajkot,Sports Facility,Sports Facility development work in Rajkot,1150000,1180000,741549,2026-06-10,2026-10-22,,72,67,Municipal Corporation,District Works Cooperative,17.255733,79.711772,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0290,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,Sports Facility,Sports Facility development work in Tiruchirappalli,1650000,1660000,1386000,2026-07-16,2027-01-10,,40,84,Education Department,Maharashtra Works Agency,26.953282,74.589969,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0291,Rajasthan,Jodhpur,Jodhpur,Library,Library development work in Jodhpur,1260000,1240000,995400,2026-04-06,2026-10-03,,33,79,Municipal Council,National Infra Services,14.615846,76.834202,Under Review,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0292,Maharashtra,Jalgaon,Jalgaon,Health Facility,Health Facility development work in Jalgaon,4570000,4460000,3465502,2026-08-14,2026-11-13,,85,78,Municipal Council,ABC Infrastructure Pvt Ltd,25.364943,84.506017,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0293,Madhya Pradesh,Indore,Indore,Sports Facility,Sports Facility development work in Indore,1000000,1030000,573071,2026-06-19,2026-11-18,,54,59,Municipal Corporation,National Infra Services,14.286586,83.811305,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0294,Bihar,Bhagalpur,Bhagalpur,Road,Road development work in Bhagalpur,2270000,2210000,908000,2026-06-08,2026-10-25,,12,40,Municipal Council,Shree Buildcon,11.076815,82.04258,Delayed,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0295,Rajasthan,Jodhpur,Jodhpur,Library,Library development work in Jodhpur,730000,750000,597826,2026-05-18,2026-09-26,,92,86,District Health Office,ABC Infrastructure Pvt Ltd,11.89529,85.706424,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0296,Gujarat,Rajkot,Rajkot,Drinking Water,Drinking Water development work in Rajkot,1830000,1800000,1253591,2026-08-01,2026-12-03,,67,72,Rural Development Agency,District Works Cooperative,20.32776,80.127985,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0297,Karnataka,Hubballi,Hubballi,Street Lighting,Street Lighting development work in Hubballi,1030000,1010000,493889,2026-08-04,2027-03-27,,47,49,Public Works Department,Maharashtra Works Agency,12.310984,83.086139,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0298,Karnataka,Belagavi,Belagavi,Road,Road development work in Belagavi,1310000,1320000,1037905,2026-07-11,2027-01-29,,89,87,District Health Office,Om Civil Works,12.088769,75.547168,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0299,Madhya Pradesh,Sagar,Sagar,Street Lighting,Street Lighting development work in Sagar,710000,710000,416358,2026-08-08,2026-12-29,,53,65,Public Works Department,Om Civil Works,23.637137,76.301866,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0300,Maharashtra,Thane,Thane,Drainage,Drainage development work in Thane,2430000,2420000,899100,2026-05-19,2026-10-11,,69,37,Zilla Parishad,National Infra Services,23.055893,81.327562,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0301,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,Community Hall,Community Hall development work in Tiruchirappalli,1790000,1760000,836692,2026-04-10,2026-07-25,,43,50,Zilla Parishad,ABC Infrastructure Pvt Ltd,18.935152,87.584163,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0302,Rajasthan,Udaipur,Udaipur,Solar Lighting,Solar Lighting development work in Udaipur,550000,560000,386033,2026-03-17,2026-10-11,,66,75,Public Works Department,National Infra Services,10.494927,84.484005,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0303,Karnataka,Mysuru,Mysuru,School Building,School Building development work in Mysuru,4370000,4330000,1880874,2026-07-16,2026-09-18,,50,45,District Health Office,Maharashtra Works Agency,21.270872,77.33397,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0304,Maharashtra,Jalgaon,Jalgaon,Road,Road development work in Jalgaon,2770000,2770000,802769,2026-03-14,2026-05-24,,41,31,Rural Development Agency,Om Civil Works,23.631297,83.921625,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0305,Rajasthan,Jodhpur,Jodhpur,Drinking Water,Drinking Water development work in Jodhpur,1570000,1610000,1287400,2026-03-08,2026-10-22,,21,82,District Health Office,ABC Infrastructure Pvt Ltd,9.943178,78.663336,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0306,Bihar,Muzaffarpur,Muzaffarpur,Drinking Water,Drinking Water development work in Muzaffarpur,1940000,1900000,1280400,2026-07-15,2026-11-06,,37,66,Public Works Department,Sai Construction,13.387495,79.257739,Delayed,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0307,Rajasthan,Jodhpur,Jodhpur,Drinking Water,Drinking Water development work in Jodhpur,330000,340000,220361,2026-06-17,2027-01-16,,69,70,Municipal Council,District Works Cooperative,19.539102,80.754265,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0308,Rajasthan,Udaipur,Udaipur,Community Hall,Community Hall development work in Udaipur,2920000,2940000,1138800,2026-04-08,2026-09-04,,27,39,Municipal Council,ABC Infrastructure Pvt Ltd,27.748826,76.557595,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0309,Gujarat,Rajkot,Rajkot,Health Facility,Health Facility development work in Rajkot,3710000,3790000,2537104,2026-08-25,2027-01-06,,73,74,Public Works Department,Shree Buildcon,10.112528,88.460488,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0310,Uttar Pradesh,Agra,Agra,Sports Facility,Sports Facility development work in Agra,1990000,2000000,1603685,2026-02-19,2026-10-01,,72,83,Public Works Department,ABC Infrastructure Pvt Ltd,9.945728,87.951038,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0311,Karnataka,Mysuru,Mysuru,Drinking Water,Drinking Water development work in Mysuru,1750000,1720000,654626,2026-06-24,2026-12-03,,40,40,Municipal Corporation,District Works Cooperative,24.009849,74.838957,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0312,Madhya Pradesh,Ujjain,Ujjain,Solar Lighting,Solar Lighting development work in Ujjain,430000,440000,231705,2026-02-23,2026-09-24,,57,59,Rural Development Agency,National Infra Services,25.470281,74.40513,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0313,Bihar,Bhagalpur,Bhagalpur,Sports Facility,Sports Facility development work in Bhagalpur,1760000,1710000,1724800,2026-04-14,2026-07-30,,39,98,Public Works Department,District Works Cooperative,19.90836,82.349709,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0314,Rajasthan,Udaipur,Udaipur,Street Lighting,Street Lighting development work in Udaipur,330000,330000,239119,2026-08-16,2027-03-15,,70,80,Zilla Parishad,Sai Construction,27.539862,74.827129,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0315,Uttar Pradesh,Kanpur Nagar,Kanpur,Sports Facility,Sports Facility development work in Kanpur Nagar,2050000,2040000,697000,2026-01-20,2026-04-03,,59,34,Education Department,National Infra Services,15.346165,73.974776,Under Review,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0316,Uttar Pradesh,Kanpur Nagar,Kanpur,Drinking Water,Drinking Water development work in Kanpur Nagar,1220000,1190000,720587,2026-02-11,2026-08-05,,70,61,Zilla Parishad,District Works Cooperative,18.739279,72.336613,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0317,Bihar,Patna,Patna,Solar Lighting,Solar Lighting development work in Patna,350000,340000,148009,2026-02-10,2026-06-24,,41,46,Municipal Corporation,ABC Infrastructure Pvt Ltd,22.002157,81.736754,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0318,Uttar Pradesh,Agra,Agra,Drinking Water,Drinking Water development work in Agra,1010000,1020000,377009,2026-08-25,2026-12-13,,36,41,District Health Office,Maharashtra Works Agency,16.739544,79.179791,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0319,Madhya Pradesh,Sagar,Sagar,Drainage,Drainage development work in Sagar,2170000,2140000,1171503,2026-04-04,2026-09-28,,48,56,Municipal Council,Shree Buildcon,22.604417,73.203897,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0320,Bihar,Muzaffarpur,Muzaffarpur,Solar Lighting,Solar Lighting development work in Muzaffarpur,270000,270000,86551,2026-07-02,2027-02-25,,42,35,Rural Development Agency,District Works Cooperative,10.642209,83.37674,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0321,Uttar Pradesh,Kanpur Nagar,Kanpur,School Building,School Building development work in Kanpur Nagar,4960000,4900000,2364995,2026-02-08,2026-07-29,,37,48,Municipal Corporation,Om Civil Works,16.981226,74.355519,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0322,Gujarat,Ahmedabad,Ahmedabad,Health Facility,Health Facility development work in Ahmedabad,3460000,3450000,1621262,2026-03-24,2026-08-13,,59,49,Zilla Parishad,Maharashtra Works Agency,10.941473,73.712578,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0323,Maharashtra,Nandurbar,Nandurbar,Street Lighting,Street Lighting development work in Nandurbar,540000,560000,254370,2026-07-23,2027-02-06,,48,50,Municipal Council,District Works Cooperative,28.243532,74.0629,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0324,Uttar Pradesh,Lucknow,Lucknow,Drinking Water,Drinking Water development work in Lucknow,840000,850000,544058,2026-03-22,2026-08-27,,59,67,Rural Development Agency,Om Civil Works,11.696462,79.309176,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0325,Tamil Nadu,Coimbatore,Coimbatore,Community Hall,Community Hall development work in Coimbatore,1870000,1890000,782867,2026-02-12,2026-09-19,,46,45,Public Works Department,Maharashtra Works Agency,26.54256,79.369181,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0326,Madhya Pradesh,Ujjain,Ujjain,Road,Road development work in Ujjain,2980000,2980000,2362110,2026-06-11,2026-08-31,,93,87,Zilla Parishad,Maharashtra Works Agency,11.633327,82.296513,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0327,Maharashtra,Ahmednagar,Ahmednagar,Solar Lighting,Solar Lighting development work in Ahmednagar,270000,270000,204170,2026-01-10,2026-06-16,,79,81,Rural Development Agency,Shree Buildcon,15.790347,72.593722,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0328,Maharashtra,Jalgaon,Jalgaon,Solar Lighting,Solar Lighting development work in Jalgaon,420000,430000,150459,2026-08-21,2027-01-12,,47,39,District Health Office,District Works Cooperative,10.169571,74.012644,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0329,Rajasthan,Jaipur,Jaipur,School Building,School Building development work in Jaipur,1920000,1960000,1372753,2026-06-25,2026-10-21,,67,77,Rural Development Agency,Shree Buildcon,21.023587,81.773085,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0330,Gujarat,Vadodara,Vadodara,Solar Lighting,Solar Lighting development work in Vadodara,1180000,1170000,507400,2026-02-19,2026-06-26,,28,43,Education Department,National Infra Services,14.540812,77.908857,Delayed,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0331,Madhya Pradesh,Indore,Indore,Solar Lighting,Solar Lighting development work in Indore,710000,720000,401815,2026-01-13,2026-07-12,,54,61,Municipal Corporation,Shree Buildcon,14.914962,72.357731,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0332,Tamil Nadu,Madurai,Madurai,Solar Lighting,Solar Lighting development work in Madurai,1350000,1340000,929876,2026-03-17,2026-07-27,,71,76,District Health Office,Maharashtra Works Agency,15.653771,83.360489,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0333,Tamil Nadu,Chennai,Chennai,Sports Facility,Sports Facility development work in Chennai,1550000,1550000,719531,2026-05-03,2026-10-25,,58,49,Education Department,Sai Construction,11.960225,84.704104,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0334,Maharashtra,Dhule,Dhule,Street Lighting,Street Lighting development work in Dhule,700000,720000,238000,2026-01-01,2026-08-15,,14,34,Education Department,National Infra Services,16.639176,78.082422,Delayed,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0335,Maharashtra,Dhule,Dhule,Drainage,Drainage development work in Dhule,1870000,1840000,729300,2026-01-17,2026-04-01,,28,39,District Health Office,National Infra Services,22.630115,80.195164,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0336,Rajasthan,Jodhpur,Jodhpur,Community Hall,Community Hall development work in Jodhpur,3320000,3360000,2865306,2026-07-25,2027-03-04,,77,89,Rural Development Agency,National Infra Services,8.394742,84.631355,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0337,Uttar Pradesh,Kanpur Nagar,Kanpur,Drinking Water,Drinking Water development work in Kanpur Nagar,1820000,1850000,1506099,2026-04-11,2026-08-15,,76,87,Zilla Parishad,Sai Construction,21.334484,79.452221,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0338,Uttar Pradesh,Varanasi,Varanasi,Library,Library development work in Varanasi,1310000,1300000,1008700,2026-03-16,2026-09-14,,30,77,Public Works Department,Om Civil Works,13.849521,88.28189,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0339,Bihar,Gaya,Gaya,Road,Road development work in Gaya,760000,780000,354781,2026-04-15,2026-11-09,,39,51,Public Works Department,National Infra Services,13.599258,72.372223,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0340,Rajasthan,Jodhpur,Jodhpur,Library,Library development work in Jodhpur,310000,300000,260400,2026-01-19,2026-07-09,,18,84,District Health Office,Om Civil Works,18.014816,75.820095,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0341,Bihar,Darbhanga,Darbhanga,Community Hall,Community Hall development work in Darbhanga,1000000,1010000,260000,2026-03-20,2026-08-14,,13,26,District Health Office,Om Civil Works,25.056268,74.630561,Delayed,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0342,Rajasthan,Udaipur,Udaipur,Community Hall,Community Hall development work in Udaipur,1780000,1760000,1409730,2026-02-16,2026-05-23,,87,83,District Health Office,ABC Infrastructure Pvt Ltd,27.477267,75.99025,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0343,Bihar,Darbhanga,Darbhanga,Solar Lighting,Solar Lighting development work in Darbhanga,350000,350000,220500,2026-01-16,2026-06-06,,39,63,Zilla Parishad,Maharashtra Works Agency,13.243535,79.814359,Delayed,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0344,Madhya Pradesh,Ujjain,Ujjain,Street Lighting,Street Lighting development work in Ujjain,1210000,1190000,918806,2026-01-09,2026-08-06,,89,84,District Health Office,ABC Infrastructure Pvt Ltd,18.593095,74.869658,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0345,Maharashtra,Palghar,Palghar,Library,Library development work in Palghar,1250000,1230000,657063,2026-07-01,2027-01-11,,52,55,Municipal Corporation,National Infra Services,21.014056,73.754414,Ongoing,Rural,SYNTHETIC_PROTOTYPE
